generation,best_cost_eur,best_emissions_kg
1,3110.83,339.79
2,3021.9,338.55
3,3017.91,337.72
4,3017.91,337.72
5,2951.65,336.18
6,2903.31,336.18
7,2890.16,335.24
8,2562.12,334.55
9,2514.63,334.19
10,2493.12,333.94
11,2445.82,333.94
12,2426.84,333.94
13,2426.84,333.94
14,2426.84,333.94
15,2401.84,333.86
16,2396.89,333.86
17,2396.89,333.86
18,2396.61,333.66
19,2385.35,333.6
20,2385.35,333.6
21,2380.28,333.57
22,2380.28,333.57
23,2380.28,333.56
24,2380.28,333.56
25,2379.93,333.56
26,2378.62,333.56
27,2378.4,333.56
28,2378.07,333.56
29,2378.07,333.56
30,2378.07,333.56
31,2378.0,333.56
32,2378.0,333.56
33,2378.0,333.56
34,2378.0,333.56
35,2378.0,333.56
36,2378.0,333.55
37,2378.0,333.55
38,2378.0,333.55
39,2378.0,333.55
40,2378.0,333.55
41,2378.0,333.55
42,2378.0,333.55
43,2378.0,333.55
44,2378.0,333.55
45,2378.0,333.55
46,2378.0,333.55
47,2378.0,333.55
48,2377.99,333.55
49,2377.99,333.55
50,2377.99,333.55
51,2377.99,333.55
52,2377.99,333.55
53,2377.99,333.55
54,2377.99,333.55
55,2377.99,333.55
56,2377.99,333.55
57,2377.99,333.55
58,2377.99,333.55
59,2377.99,333.55
60,2377.99,332.85
